artist,total_weeks,track_count,artistId,imageUrl,imageWidth,imageHeight
CHESNEY HAWKES,5,1,3dipm6p2uAgitwQsOZU5oY,https://i.scdn.co/image/825f59422596d8f753d5193428c97dbffb88821c,160,160
CHICAGO,3,1,07d5etnpjriczFBB8pxmRe,https://i.scdn.co/image/ccba42ccfc914a3c17216af99d9deb31bf35c9d3,200,200
CHICANE,1,1,5GxyeQagayzZOg4UwffQlD,https://i.scdn.co/image/92524e78d8e0aa2aad5014c7ad8d2450744905b8,200,200
CHICO,2,1,6tOsSffQQIXmK8TqsDck8t,https://i.scdn.co/image/5c27d1ebbde9ca6814f62b995b2ff668c32c20fc,160,160
CHICORY TIP,3,1,1KXwUKaBcLySwrCSsOa0aa,https://i.scdn.co/image/674cb41e455581e610aa716eebff89e93a4b63c9,64,64
CHIPMUNK,1,1,0tJCNteqwm7LmRZ6KWr8GT,https://i.scdn.co/image/fa516d0ad1354b71f764803c1d906bd360283c6f,160,160
CHRIS BROWN,1,1,7bXgB6jMjp9ATFy66eO08Z,https://i.scdn.co/image/85873a0b74996d8b43faff0bd30a384aea464499,160,160
CHRIS DE BURGH,3,1,2RpHsROrX075xfIwHn6B2U,https://i.scdn.co/image/a8cb3197e59173892c95873ef10a039f93a30b69,200,300
CHRIS FARLOWE,1,1,0xUA9sZvM1DBVySSvUaHtu,https://i.scdn.co/image/ad600234013aba164626332245c80813df6d3474,64,64
CHRIS WILLIS,1,1,2qSEpijpT3YSXgxcXac1ly,https://i.scdn.co/image/38786debf77cc04f5bff1c75deaf0451c4186656,64,64
CHRISSIE HYNDE,2,2,2ozLlEZTdSV3pjHgWwZMsi,https://i.scdn.co/image/35cd08e9e95c95e2d7665fc04b3723a6c6128fec,200,113
CHRISTIE,8,2,7KK6M2jPylHa6gLbMBI6V0,https://i.scdn.co/image/c0b920cd41c4cb3b19b9bef4c668d053a272c509,200,202
CHRISTINA AGUILERA,7,4,1l7ZsJRRS8wlW3WfJfPfNS,https://i.scdn.co/image/61308521df79ab4daaf29dd05a3d2fbef17b6059,160,160
CHROME,5,2,6rRfU5PFMng3MXEU7xMwUW,https://i.scdn.co/image/f888f43fe9120790d9eb6d8a6234a6bc9301716b,64,64
CHUCK BERRY,4,1,293zczrfYafIItmnmM3coR,https://i.scdn.co/image/dd7b763fb49c35b1ebaadf3695156aeb7d9f9ca3,200,240
CIARA,1,1,2NdeV5rLm47xAvogXrYhJX,https://i.scdn.co/image/aa2414ee9d19ad2c2256a867c8b559211696bc0a,200,200
CILLA BLACK,7,2,3bCvHtuIXWXPbCMdSYudmZ,https://i.scdn.co/image/2fe90c924efd2b8b203c533ca91250aefd2436a5,64,64
CLASH,2,1,3RGLhK1IP9jnYFH4BRFJBS,https://i.scdn.co/image/4befb6b7cf4c3d6b7fda1f71b717203d90adf897,200,135
CLEAN BANDIT,14,3,6MDME20pz9RveH9rEXvrOM,https://i.scdn.co/image/1ae6a35726cbff6fb2c5e6cd788b9ee17125fa39,160,160
CLIFF RICHARD,46,14,2nvKpWcP8etYTq4JrRiUiy,https://i.scdn.co/image/54bc29749eac2cfc632627035064366d9abe04d8,64,96
CLIVE DUNN,3,1,5FY47GspFLeQmeJRsjPDdB,https://i.scdn.co/image/25aa933b3b2bb71b9f7715859bcdbcda7c780e53,64,64
COCKNEY REBEL,2,1,6EL5GD53kaaVgJCHgdtdLz,https://i.scdn.co/image/c9906d6c551ce79ed3abd9a8a72d9e9d13d164d0,200,150
